"Turdus_infuscatus_Lafresnaye,_1844","SAMN12984381"
"Turdus_plebejus_plebejus_Cabanis,_1861","SAMN12984382"
"Turdus_albicollis_assimilis_Cabanis,_1850","SAMN12984383"
"Turdus_anthracinus Burmeister,_1858","SAMN12984384"
"Turdus_grayi_grayi_Bonaparte,_1838","SAMN12984385"
"Turdus_grayi_lanyoni_A._R._Phillips,_1966","SAMN12984386"
"Turdus_libonyana_libonyana_A._Smith,_1836","SAMN12984387"
"Turdus_amaurochalinus_Cabanis,_1850","SAMN12984388"
"Turdus_rubripes_schistaceus_S._F._Baird,_1864","SAMN12984389"
"Turdus_rufiventris_rufiventris_Vieillot,_1818","SAMN12984390"
"Turdus_torquatus_amicorum_Hartert,_1923","SAMN12984391"
"Turdus_libonyana_libonyana_A._Smith,_1836","SAMN12984392"
"Turdus_serranus_fuscobrunneus_(Chapman,_1912)_","SAMN12984393"
"Turdus_obscurus_J._F._Gmelin,_1789","SAMN12984394"
"Turdus_rufitorques_Hartlaub,_1844","SAMN12984395"
"Turdus_obsoletus_obsoletus_Lawrence,_1862","SAMN12984396"
"Turdus_anthracinus_Burmeister,_1858","SAMN12984397"
"Turdus_obsoletus_parambanus_Hartert,_1920","SAMN12984398"
"Turdus_pilaris_Linnaeus, 1758","SAMN12984399"
"Turdus_philomelos_clarkei_Hartert,_1909_","SAMN12984400"
"Turdus_poliocephalus_vanikorensis_Quoy_&_Gaimard,_1830","SAMN12984401"
"Turdus_olivater_kemptoni_Phelps,_Sr_&_Phelps,_Jr,_1955","SAMN12984402"
"Turdus_amaurochalinus_Cabanis,_1850","SAMN12984403"
"Turdus_poliocephalus_seebohmi_(Sharpe,_1888)","SAMN12984404"
"Turdus_reevei_Lawrence,_1869","SAMN12984405"
"Turdus_chiguanco_conradi_Salvadori_&_Festa,_1899","SAMN12984406"
"Turdus_migratorius_achrusterus (Batchelder,_1900)","SAMN12984407"
"Turdus_haplochrous_Todd,_1931","SAMN12984408"
"Turdus_leucomelas_leucomelas_Vieillot,_1818","SAMN12984409"
"Turdus_fuscater_fuscater_Lafresnaye_and_d’Orbigny,_1837","SAMN12984410"
"Turdus_philomelos_philomelos_C._L._Brehm,_1831","SAMN12984411"
"Turdus_falcklandii_magellanicus_P._P._King,_1831","SAMN12984412"
"Turdus_fuscater_gigantodes_Cabanis,_1873_","SAMN12984413"
"Turdus_nudigenis_nudigenis_Lafresnaye,_1848","SAMN12984414"
"Turdus_nigriceps_nigriceps_(Seebohm,_1887)","SAMN12984415"
"Turdus_nigriceps_nigriceps_Cabanis,_1874","SAMN12984416"
"Turdus_nigriceps_nigriceps_Cabanis,_1874","SAMN12984417"
"Turdus_olivaceus_smithi_Bonaparte,_1850","SAMN12984418"
"Turdus_reevei_Lawrence,_1869","SAMN12984419"
"Turdus_maculirostris_Berlepsch_and_Taczanowski,_1884","SAMN12984420"
"Turdus_maranonicus_Taczanowski,_1880","SAMN12984421"
"Turdus_nigrescens_Cabanis,_1861","SAMN12984422"
"Turdus_olivater_roraimae_Salvin_&_Godman,_1884","SAMN12984423"
"Turdus_rufiventris_rufiventris_Vieillot,_1818","SAMN12984424"
"Turdus_grayi_megas_W._deW._Miller_&_Griscom,_1925","SAMN12984425"
"Turdus_plebejus_plebejus_Cabanis,_1861","SAMN12984426"
"Turdus_plebejus_rafaelenses_W._deW._Miller_&_Griscom,_1925","SAMN12984427"
"Turdus_grayi_casius_(Bonaparte,_1855)_","SAMN12984428"
"Turdus_serranus_serranus_Tschudi,_1844","SAMN12984429"
"Turdus_xanthorhynchus_Salvadori,_1901","SAMN12984430"
"Turdus_libonyana_tropicalis__W._K._H._Peters,_1881","SAMN12984431"
"Turdus_plumbeus_ardosiaceus_Vieillot,_1822","SAMN12984432"
"Turdus_albicollis_assimilis_Cabanis,_1850","SAMN12984433"
"Turdus_amaurochalinus_Cabanis,_1850","SAMN12984434"
"Turdus_rufitorques_Hartlaub,_1844","SAMN12984435"
"Turdus_fulviventris_P._L._Sclater,_1858","SAMN12984436"
"Turdus_amaurochalinus_Cabanis,_1850","SAMN12984437"
"Turdus_amaurochalinus_Cabanis,_1850","SAMN12984438"
"Turdus_albicollis_Vieillot,_1818","SAMN12984439"
"Turdus_pelios_Bonaparte,_1850","SAMN12984440"
"Turdus_albicollis_phaeopygus_Cabanis,_1849","SAMN12984441"
"Turdus_nudigenis_extimus_Todd,_1931","SAMN12984442"
"Turdus_nudigenis_extimus_Todd,_1931","SAMN12984443"
"Turdus_leucomelas_albiventer_Spix,_1824","SAMN12984444"
"Turdus_rufiventris_juensis_(Cory,_1916)","SAMN12984445"
"Turdus_rufiventris_juensis_(Cory,_1916)","SAMN12984446"
"Turdus_sanchezorum_O’Neill_et_al.,_2011","SAMN12984447"
"Turdus_sanchezorum_O’Neill_et_al.,_2011","SAMN12984448"
"Turdus_hauxwelli_Lawrence,_1869","SAMN12984449"
"Turdus_grayi_linnaei A._R._Phillips,_1966","SAMN12984450"
"Turdus_hauxwelli_Lawrence,_1869","SAMN12984451"
"Turdus_ignobilis_debilis_Hellmayr,_1902","SAMN12984452"
"Turdus_ignobilis_arthuri_(Chubb,_1914)_","SAMN12984453"
"Turdus_flavipes_Vieillot,_1818","SAMN12984454"
"Turdus_fumigatus_fumigatus_M._H._K._Lichtenstein,_1823","SAMN12984455"
"Turdus_flavipes_flavipes_Vieillot,_1818","SAMN12984456"
"Turdus_flavipes_polionota_(Sharpe,_1902)_","SAMN12984457"
"Turdus_lawrencii_Coues,_1880","SAMN12984458"
"Turdus_lawrencii_Coues,_1880","SAMN12984459"
"Turdus_merula_merula_Linnaeus,_1758","SAMN12984460"
"Turdus_nudigenis_nudigenis_Lafresnaye,_1848","SAMN12984461"
"Oenanthe_oenanthe_(Linnaeus,_1758)","SAMN12984462"
"Catharus_gracilirostris_Salvin,_1865","SAMN12984463"
"Geokichla_dumasi_joiceyi_Rothschild,_1899","SAMN12984464"
"Zoothera_dauma_horsfieldi_Latham,_1790","SAMN12984465"
"Cochoa_viridis_Hodgson,_1836","SAMN12984466"
"Ridgwayia_pinicola_P._L._Sclater,_1859","SAMN12984467"
"Turdus_swalesi_Wetmore,_1927","SAMN12984468"
"Turdus_rubrocanus_G._R._Gray,_1846","SAMN12984469"
"Turdus_hortulorum_P._L._Sclater,_1863","SAMN12984470"
"Psophocichla_litsitsirupa_A._Smith,_1836","SAMN12984471"
"Turdus_migratorius_phillipsi_Bangs,_1915","SAMN12984472"
"Turdus_chrysolaus_Temminck,_1832","SAMN12984473"
"Turdus_merula_merula_Linnaeus,_1758","SAMN12984474"
"Turdus_iliacus_iliacus_Linnaeus,_1766","SAMN12984475"
"Turdus_fumigatus_M._H._K._Lichtenstein,_1823","SAMN12984476"
"Turdus_eunomus_Temminck,_1831","SAMN12984477"
"Turdus_obscurus_J._F._Gmelin,_1789","SAMN12984478"
"Turdus_hortulorum_P._L._Sclater,_1863","SAMN12984479"
"Turdus_iliacus_Linnaeus,_1766","SAMN12984480"
"Turdus_aurantius__J._F._Gmelin,_1789","SAMN12984481"
"Turdus_lherminieri_dominicensis_(Lawrence,_1880)","SAMN12984482"
"Turdus_viscivorus_Linnaeus,_1758","SAMN12984483"
"Turdus_pallidus_J._F._Gmelin,_1789","SAMN12984484"
"Turdus_fuscater_Lafresnaye_and_d’Orbigny,_1837","SAMN12984485"
"Turdus_viscivorus_Linnaeus,_1758","SAMN12984486"
"Turdus_iliacus_Linnaeus,_1766","SAMN12984487"
"Turdus_merula_Linnaeus,_1758","SAMN12984488"
"Turdus_serranus_Tschudi,_1844","SAMN12984489"
"Turdus_merula_cabrerae Hartert,_1901","SAMN12984490"
"Turdus_ignobilis_P._L._Sclater,_1858","SAMN12984491"
"Turdus_cardis_Temminck,_1831","SAMN12984492"
"Turdus_olivaceus_abyssinicus_J._F._Gmelin,_1789","SAMN12984493"
"Turdus_iliacus_Linnaeus,_1766","SAMN12984494"
"Turdus_naummani_Temminck, 1820","SAMN12984495"
