"Table S1. List of taxa, locality and voucher information.",,,,,,,,,,,
,,,,,,,,,,,
ID,Species,Museum,Voucher,Tissue Number,Country,Locality,lat,long,Level,Type,NCBI
U4172,"Turdus infuscatus Lafresnaye, 1844",Burke Museum,UWBM 104375,DAB 4706,Guatemala,"Departamento de Totonicapan, mountains nearest Totonicapan",14.910833,-91.360556,INGROUP,Tissue,SAMN12984381
U4189,"Turdus plebejus plebejus Cabanis, 1861",Burke Museum,UWBM 113247,JK 07 503,Panama,"Provincia de Chiriqui, Parque Nacional Volcan Baru",8.8449,-82.53938333,INGROUP,Tissue,SAMN12984382
U4159,"Turdus albicollis assimilis Cabanis, 1850",Burke Museum,UWBM 104255,DHB 4586,Guatemala,Departamento de Quetzaltenango Santa Maria de Jesus 5 km SSW Finca de Santa Maria,14.83188498,-91.5166869,INGROUP,Tissue,SAMN12984383
U4162,"Turdus anthracinus Burmeister, 1858",Burke Museum,UWBM 54433,DAB 837,Argentina,"Provincia de Tucuman, San Miguel de Tucuman, El Infiernillo",-26.75,-65.74,INGROUP,Tissue,SAMN12984384
U4164,"Turdus grayi grayi Bonaparte, 1838",Burke Museum,UWBM 104010,DHB 4341,Guatemala,"Departamento de Retalhuleu, San Felipe Retalhuleu, 5 km S; Finca El Nino",14.620556,-91.596111,INGROUP,Tissue,SAMN12984385
U4168,"Turdus grayi lanyoni A. R. Phillips, 1966",Burke Museum,UWBM 100667,BTS 07 160,Mexico,"Campeche, Municipio de la Candelaria",19.33038061,-99.14630679,INGROUP,Tissue,SAMN12984386
U4177,"Turdus libonyana libonyana A. Smith, 1836",Burke Museum,UWBM 52923,SAR 6744,South Africa,"KwaZulu/Natal Province, Melmoth",-28.59,31.44,INGROUP,Tissue,SAMN12984387
U4273,"Turdus amaurochalinus Cabanis, 1850",Louisiana State University Museum of Natural Science,LSUMZ 37732,,Bolivia,"Santa Cruz Department,  Dn Mario de Chiquiitos 126 km ENE San Jose",-17.78945,-63.182975,INGROUP,Tissue,SAMN12984388
U4334,"Turdus rubripes schistaceus S. F. Baird, 1864",Louisiana State University Museum of Natural Science,LSUMZ 82992,,Cuba,"Guant_namo Province,  U.S. Guantanamo Naval Base Graffiti Hill",20.14000833,-75.2129,INGROUP,Tissue,SAMN12984389
U4342,"Turdus rufiventris rufiventris Vieillot, 1818",Louisiana State University Museum of Natural Science,LSUMZ 31619,,Bolivia,"Santa Cruz Department,  Prov. El Tambo 14 km SE Comarapa 18 degrees 00' 23"" S 64 degrees 26' 06"" W",-18.00638889,-64.435,INGROUP,Tissue,SAMN12984390
U2338,"Turdus torquatus amicorum Hartert, 1923","Department of Biology and Environmental Science, University of Gothenburg",DZUG 2338,,Armenia,"Aragats 2007-06-04, PJL",40.523186,44.19463056,INGROUP,Tissue,SAMN12984391
U4176,"Turdus libonyana libonyana A. Smith, 1836",Burke Museum,UWBM 67035,LKB 118,South Africa,"KwaZulu/Natal Province, Melmoth, Saxony Farm",-28.61,31.375,INGROUP,Tissue,SAMN12984392
U4345,"Turdus serranus fuscobrunneus (Chapman, 1912) ",Louisiana State University Museum of Natural Science,LSUMZ 12152,,Ecuador,"Pichincha Province,  MINDO",-0.048961111,-78.77523611,INGROUP,Tissue,SAMN12984393
U4325,"Turdus obscurus J. F. Gmelin, 1789",Louisiana State University Museum of Natural Science,LSUMZ 16993,,Japan,"Wakayama Prefecture,  Gobo",33.89149167,135.1523472,INGROUP,Tissue,SAMN12984394
U3899,"Turdus rufitorques Hartlaub, 1844",Louisiana State University Museum of Natural Science,LSUMZ B-60971,,Honduras,"Francisco Morazán Department, Cerro UYUCA.zamorano Bio logical research station",14.01666667,-87.08333333,INGROUP,Tissue,SAMN12984395
U4320,"Turdus obsoletus obsoletus Lawrence, 1862",Louisiana State University Museum of Natural Science,LSUMZ 41621,,Panama,"Bocas del Toro Province,  Chiriqui to Chiriqui Grande road",8.791388889,-82.20984444,INGROUP,Tissue,SAMN12984396
U4163,"Turdus anthracinus Burmeister, 1858",Burke Museum,UWBM 92132,GAV 988,Argentina,"Provinicia de Jujuy, Tilcara",-24.18433993,-65.30217663,INGROUP,Tissue,SAMN12984397
U4319,"Turdus obsoletus parambanus Hartert, 1920",Louisiana State University Museum of Natural Science,LSUMZ 11711,,Ecuador,"Esmeraldas Province,  EL PLACER CA 670M",-2.810469444,-79.98908611,INGROUP,Tissue,SAMN12984398
U4331,"Turdus pilaris Linnaeus, 1758",Louisiana State University Museum of Natural Science,LSUMZ 1330,,Denmark,"Vestjaelland County,  Soro Amt 3 km SE Korsor",55.32576389,11.14938889,INGROUP,Tissue,SAMN12984399
U4330,"Turdus philomelos clarkei Hartert, 1909 ",Louisiana State University Museum of Natural Science,LSUMZ 12244,,Sweden,Provance Oland Ottenby Bird Station,56.19767222,16.39945833,INGROUP,Tissue,SAMN12984400
U4337,"Turdus poliocephalus vanikorensis Quoy & Gaimard, 1830",Louisiana State University Museum of Natural Science,LSUMZ 45823,,Vanuatu,Espiritu Santo 1.5 km SE Wusi ,-15.37833333,167.6616667,INGROUP,Tissue,SAMN12984401
U4322,"Turdus olivater kemptoni Phelps, Sr & Phelps, Jr, 1955",Louisiana State University Museum of Natural Science,LSUMZ 7399,,Venezuela,"Amazonas Territory,  CERRO DE LA NEBLINA CAMP VII 1800M",0.323955556,-65.77480278,INGROUP,Tissue,SAMN12984402
U4155,"Turdus amaurochalinus Cabanis, 1850",Burke Museum,UWBM 54448,DAB 859,Argentina,"Provincia de Corrientes, Corrientes, Manuel Derqui",-27.8419,-58.8119ææ,INGROUP,Tissue,SAMN12984403
U4336,"Turdus poliocephalus seebohmi (Sharpe, 1888)",Louisiana State University Museum of Natural Science,LSUMZ 52693,,Malaysia,"Sabah,  Tambunan district Mt. Kinabalu Laban Rata ",6.064444444,116.5769444,INGROUP,Tissue,SAMN12984404
